keys;MSTR_key;vnb_names;vnb_vlevels;date_erhebung;area_ns;length_ns;area_ms;length_ms;area_hs;length_hs;count_storage_requests_ns;count_storage_requests_ms;count_storage_requests_hs;sum_storage_requests_ns;sum_storage_requests_ms;sum_storage_requests_hs;umsetzungsquote_ee_ns;umsetzungsquote_ee_ms;umsetzungsquote_ee_hs;umsetzungsquote_storage_ns;umsetzungsquote_storage_ms;umsetzungsquote_storage_hs;count_realized_ee_ns;count_requests_ee_ns;count_realized_ee_ms;count_requests_ee_ms;count_realized_ee_hs;count_requests_ee_hs;count_realized_storage_ns;count_requests_storage_ns;count_realized_storage_ms;count_requests_storage_ms;count_realized_storage_hs;count_requests_storage_hs;duration_storage_ns;duration_storage_ms;duration_storage_hs;duration_ee_ns;duration_ee_ms;duration_ee_hs;digital_score_total;digital_score_smart_grids;digital_score_processes_systems;digital_score_data_management_analysis;digital_score_customer_management
10000052;SNB921080203146;Elektrizitätswerk Rohmund GmbH;NS, MS;2025-09-01;3.64;30.46;25.37;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8919;;;1.0;;;33.0;37.0;0.0;0.0;0.0;0.0;8.0;8.0;0.0;0.0;0.0;0.0;14.0;;;14.0;;;;0.1;0.0;0.0;
10000053;SNB981193584808;Gemeindewerke Kiefersfelden;NS, MS;2025-05-28;36.73;162.51;36.73;45.68;0.0;0.0;74.0;0.0;0.0;578.0;0.0;0.0;1.0213;;;1.0;;;96.0;94.0;0.0;0.0;0.0;0.0;88.0;88.0;0.0;0.0;0.0;0.0;24.0;;;24.0;;;0.24;0.03;0.07;0.67;0.2
10000055;SNB925558752303;Elektrizitätswerk Hindelang eG;NS, MS;2025-08-11;2.23;76.93;124.9;55.5;0.0;0.0;43.0;0.0;0.0;537.0;0.0;0.0;1.0;;;1.0;;;55.0;55.0;0.0;0.0;0.0;0.0;59.0;59.0;0.0;0.0;0.0;0.0;20.0;;;20.0;;;0.3;0.21;0.0;0.81;0.2
10000057;SNB991410365127;Gemeindewerke Ebersdorf;NS, MS;2025-05-27;5.0;271.28;26.36;37.94;0.0;0.0;38.0;0.0;0.0;212.0;0.0;0.0;1.0;;;1.0;;;95.0;95.0;0.0;0.0;0.0;0.0;55.0;55.0;0.0;0.0;0.0;0.0;14.0;;;14.0;14.0;;;0.05;0.04;0.32;
10000058;SNB982049301273;Stadtwerke Germersheim GmbH;NS, MS;2025-05-21;7.14;153.088;19.89;84.471;0.0;0.0;56.0;0.0;0.0;400.0;0.0;0.0;0.6824;;;0.8481;0.4;;58.0;85.0;0.0;0.0;0.0;0.0;67.0;79.0;2.0;5.0;0.0;0.0;49.0;236.0;;110.0;;;0.32;0.22;0.33;0.45;0.29
10000060;SNB935144085258;Stadtwerke Schorndorf GmbH;NS, MS;2025-05-21;56.83;518.5;56.83;112.7;0.0;0.0;167.0;0.0;0.0;1258.0;0.0;0.0;0.9822;;;1.0;;;276.0;281.0;0.0;0.0;0.0;0.0;213.0;213.0;0.0;0.0;0.0;0.0;120.0;;;120.0;;;0.34;0.39;0.0;0.67;0.29
10000062;SNB970879855325;Gemeindewerke Steißlingen;NS;2025-07-11;2.4;60.38;21.5;37.64;0.0;0.0;66.0;0.0;0.0;438.0;0.0;0.0;1.0;;;1.0;;;83.0;83.0;0.0;0.0;0.0;0.0;96.0;96.0;0.0;0.0;0.0;0.0;21.0;;;17.0;65.0;;0.16;0.05;0.0;0.3;0.28
10000065;SNB930709120863;Stadtwerke Versmold GmbH;NS, MS;2025-05-23;16.65;408.77;85.57;178.07;0.0;0.0;170.0;2.0;0.0;1054.0;20000.0;0.0;1.0051;;;0.8442;0.75;;196.0;195.0;0.0;0.0;0.0;0.0;195.0;231.0;3.0;4.0;0.0;0.0;28.0;122.0;;42.0;220.0;;0.24;0.1;0.0;0.55;0.29
10000075;SNB922514070884;Stadtwerke Bliestal GmbH;NS, MS;2025-05-27;55.27;207.67;60.6;60.3;0.0;0.0;73.0;1.0;0.0;604.0;5000.0;0.0;1.0;1.0;;1.0;;;107.0;107.0;3.0;3.0;0.0;0.0;142.0;142.0;0.0;0.0;0.0;0.0;36.0;330.0;;55.0;330.0;;0.24;0.07;0.08;0.61;0.23
10000080;SNB922793626642;Stadtwerke Gengenbach -Versorgungsbetriebe-;NS, MS;2025-07-31;6.0;73.0;6.0;34.5;0.0;0.0;12.0;0.0;0.0;105.0;0.0;0.0;1.0;;;1.0;;;26.0;26.0;0.0;0.0;0.0;0.0;27.0;27.0;0.0;0.0;0.0;0.0;11.0;;;13.0;13.0;;0.21;0.09;0.44;0.11;0.23
10000085;SNB985871274975;Kommunalunternehmen Gemeindewerke Peißenberg;;2025-05-27;11.4;225.0;11.4;40.0;0.0;0.0;0.0;1.0;0.0;0.0;1000.0;0.0;0.9535;;;1.0;;;205.0;215.0;0.0;0.0;0.0;0.0;10.0;10.0;0.0;0.0;0.0;0.0;30.0;60.0;;30.0;60.0;;0.26;0.17;0.0;0.28;0.6
10000086;SNB948470226516;Stadtwerke Malchow;NS, MS;2025-11-10;3.12;110.9;45.0;37.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;0.24;0.31;0.0;0.39;0.28
10000091;SNB933529129573;Getreidemühle Zwiefalten eG;NS, MS;2025-09-04;1.45;35.304;16.28;5.86;0.0;0.0;3.0;0.0;0.0;21.0;0.0;0.0;;;;0.2727;;;0.0;0.0;0.0;0.0;0.0;0.0;3.0;11.0;0.0;0.0;0.0;0.0;6.0;;;14.0;;;0.16;0.03;0.0;0.33;0.25
10000096;SNB943261073362;Stadtwerke Sulzbach/Saar GmbH;NS, MS;2025-12-08;8.0;165.46;8.0;71.93;0.0;0.0;72.0;0.0;0.0;433.0;0.0;0.0;0.0079;0.2857;;0.0238;;;4.0;504.0;2.0;7.0;0.0;0.0;4.0;168.0;0.0;0.0;0.0;0.0;104.0;110.0;;180.0;180.0;;0.18;0.02;0.0;0.43;0.25
10000098;SNB914879260819;Stadtwerke Wernigerode GmbH;NS, MS;2025-04-29;16.0;319.09;177.0;191.98;0.0;0.0;123.0;1.0;0.0;799.0;1600.0;0.0;1.0;;;1.0;;;308.0;308.0;0.0;0.0;0.0;0.0;168.0;168.0;0.0;0.0;0.0;0.0;78.0;360.0;;80.0;275.0;;0.19;0.09;0.0;0.43;0.26
10000100;SNB919657321775;Licht- und Kraftwerke Sonneberg GmbH;NS, MS;2025-08-04;84.69;207.08;84.69;105.53;0.0;0.0;84.0;1.0;0.0;450.0;2322.0;0.0;;;;0.2017;;;0.0;0.0;0.0;0.0;0.0;0.0;24.0;119.0;0.0;0.0;0.0;0.0;80.0;115.0;;170.0;250.0;;0.33;0.04;0.33;0.78;0.16
10000109;SNB931823254809;Stadt Burgbernheim - Stadtwerke;NS, MS;2025-10-09;3.1;46.5;2.45;19.0;0.0;0.0;48.0;0.0;0.0;370.0;0.0;0.0;1.0;;;0.1379;;;54.0;54.0;0.0;0.0;0.0;0.0;8.0;58.0;0.0;0.0;0.0;0.0;47.0;;;51.0;;;0.27;0.16;0.0;0.61;0.29
10000110;SNB922811950100;Stadtwerke Schweinfurt GmbH;NS, MS, HS;2025-08-25;24.47;818.61;83.0;318.4;35.71;7.57;372.0;1.0;0.0;2777.0;4300.0;0.0;0.8484;;;0.0229;0.5556;;655.0;772.0;0.0;0.0;0.0;0.0;10.0;437.0;5.0;9.0;0.0;0.0;3.0;363.0;;75.0;180.0;;;0.25;0.0;0.43;
10000118;SNB946086138155;Elektrizitäts-Genossenschaft Röthenbach eG;NS, MS;2025-06-23;56.0;268.0;27.0;77.0;0.0;0.0;86.0;0.0;0.0;761.0;0.0;0.0;1.0;;;1.0;;;137.0;137.0;0.0;0.0;0.0;0.0;111.0;111.0;0.0;0.0;0.0;0.0;17.0;;;32.0;50.0;;0.55;0.03;0.33;0.91;0.92
10000120;SNB943984165313;Stadtwerke Stein GmbH & Co. KG;NS, MS;2025-09-01;19.52;150.46;19.52;54.59;0.0;0.0;95.0;0.0;0.0;680.0;0.0;0.0;1.0;;;1.0;;;107.0;107.0;0.0;0.0;0.0;0.0;112.0;112.0;0.0;0.0;0.0;0.0;17.0;;;17.0;;;0.11;0.14;0.0;0.0;0.31
10000126;SNB910882213224;Elektrizitätswerk Stern KG Bad Endorf;NS, MS;2025-05-28;3.38;154.5;3.38;49.6;0.0;0.0;69.0;0.0;0.0;1907.0;0.0;0.0;1.0;;;1.0;;;179.0;179.0;0.0;0.0;0.0;0.0;104.0;104.0;0.0;0.0;0.0;0.0;74.0;;;74.0;111.0;;0.43;0.06;0.33;1.0;0.31
10000127;SNB924747450655;EWR GmbH;NS, MS;2025-09-04;29.7;739.0;74.52;416.0;0.0;0.0;392.0;0.0;0.0;2852.0;0.0;0.0;1.0;1.0;;;;;857.0;857.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0;44.0;;75.0;75.0;;0.33;0.24;0.33;0.45;0.3
10000140;SNB966808200267;Vereinigte Wertach-Elektrizitätswerke GmbH;NS, MS;2025-09-04;35.477;1000.7;137.517;588.9;0.0;0.0;415.0;0.0;0.0;3206.0;0.0;0.0;0.193;0.0833;;0.1493;;;110.0;570.0;1.0;12.0;0.0;0.0;109.0;730.0;0.0;0.0;0.0;0.0;150.0;350.0;;84.0;328.0;;0.24;0.06;0.0;0.67;0.23
10000141;SNB947092763157;Stadtwerke Altdorf GmbH;NS, MS;2025-06-10;7.98;257.0;48.61;48.22;0.0;0.0;144.0;0.0;0.0;1287.0;0.0;0.0;1.0;;;1.0;;;186.0;186.0;0.0;0.0;0.0;0.0;195.0;195.0;0.0;0.0;0.0;0.0;2.0;6.0;;2.0;;;0.25;0.08;0.0;0.64;0.3
10000145;SNB918689434309;Elektrizitätswerk Dahner Felsenland;NS, MS;2025-06-18;4.6;177.0;81.24;57.0;0.0;0.0;101.0;0.0;0.0;792.0;0.0;0.0;1.0;;;1.0;;;191.0;191.0;0.0;0.0;0.0;0.0;201.0;201.0;0.0;0.0;0.0;0.0;14.0;;;28.0;;;0.34;0.13;0.33;0.64;0.25
10000148;SNB916743652645;Stadtwerke Elmshorn;NS, MS;2025-10-09;32.4;861.255;153.55;306.727;0.0;0.0;262.0;0.0;0.0;1613.0;0.0;0.0;1.0;;;1.0;;;652.0;652.0;0.0;0.0;0.0;0.0;527.0;527.0;0.0;0.0;0.0;0.0;32.0;;;144.0;224.0;;0.34;0.26;0.0;0.4;0.7
10000150;SNB910956210043;Überlandwerk Leinetal GmbH;NS, MS;2025-06-16;53.25;683.82;480.81;446.15;0.0;0.0;142.0;0.0;0.0;1119.0;0.0;0.0;0.9985;;;0.9643;;;658.0;659.0;0.0;0.0;0.0;0.0;216.0;224.0;0.0;0.0;0.0;0.0;71.0;;;80.0;;;0.25;0.29;0.0;0.44;0.25
10000151;SNB968646876970;Stadtwerke Eckernförde GmbH;NS, MS;2025-09-01;12.0;312.0;10.0;67.0;0.0;0.0;143.0;0.0;0.0;657.0;0.0;0.0;1.0;;;1.0;1.0;;160.0;160.0;0.0;0.0;0.0;0.0;207.0;207.0;5.0;5.0;0.0;0.0;25.0;60.0;;20.0;;;0.29;0.19;0.33;0.39;0.23
10000154;SNB964273276183;Stadtwerke Fellbach GmbH;;2025-06-11;9.77;293.0;9.77;131.0;0.0;0.0;370.0;0.0;0.0;2693.0;0.0;0.0;1.0;;;0.107;;;297.0;297.0;0.0;0.0;0.0;0.0;70.0;654.0;0.0;0.0;0.0;0.0;65.0;195.0;;44.0;195.0;;0.2;0.19;0.0;0.39;0.22
10000156;SNB963795614626;Stadtwerke Bad Windsheim;NS, MS;2025-06-25;63.68;110.81;86.975;35.3;0.0;0.0;62.0;0.0;0.0;416.0;0.0;0.0;0.8629;;;0.88;;;107.0;124.0;0.0;0.0;0.0;0.0;66.0;75.0;0.0;0.0;0.0;0.0;37.0;120.0;;37.0;120.0;;0.25;0.17;0.08;0.49;0.24
10000158;SNB998044089535;Stadtwerke Greven GmbH;NS, MS;2025-08-14;23.53;515.04;140.1;328.77;0.0;0.0;344.0;3.0;0.0;2320.0;10000.0;0.0;1.0;1.0;;1.0111;0.5714;;660.0;660.0;10.0;10.0;0.0;0.0;454.0;449.0;4.0;7.0;0.0;0.0;40.0;75.0;;105.0;405.0;;0.17;0.04;0.0;0.4;0.25
10000160;SNB934949020686;Stadtwerke Gronau GmbH;NS, MS;2025-05-21;23.0;472.0;78.8;318.0;0.0;0.0;330.0;0.0;0.0;3007.0;0.0;0.0;1.0;1.0;;1.0;;;585.0;585.0;4.0;4.0;0.0;0.0;435.0;435.0;0.0;0.0;0.0;0.0;16.0;;;16.0;19.0;;0.5;0.41;0.0;0.8;0.77
10000161;SNB955001358523;Stadtwerke Pirmasens Versorgungs GmbH;NS, MS;2025-06-16;14.0;381.2;61.0;151.9;0.0;0.0;135.0;1.0;0.0;1136.67;360.0;0.0;1.0;1.0;;1.0;;;144.0;144.0;4.0;4.0;0.0;0.0;265.0;265.0;0.0;0.0;0.0;0.0;35.0;74.0;;28.0;68.0;;0.41;0.33;0.0;1.0;0.29
10000163;SNB913280322543;Stadtwerke Schwedt GmbH;NS, MS;2025-06-12;35.8;440.6;203.7;148.7;0.0;0.0;96.0;0.0;0.0;608.0;0.0;0.0;1.0;0.9;;1.0;0.75;;203.0;203.0;9.0;10.0;0.0;0.0;113.0;113.0;3.0;4.0;0.0;0.0;20.0;90.0;;15.0;90.0;;0.28;0.18;0.08;0.42;0.43
