Netzbetreiber;Anlagenart;Bestand_2024.0;Prognosen_2030.0;Prognosen_2035.0;Prognosen_2045.0;Anmerkungen_2045.0;Planungsregion;Prognose_2030.0;Prognose_2035.0;Prognose_2045.0;Verteilnetzbetreiber_Bestand;Verteilnetzbetreiber_Prognosen Basisszenario;Verteilnetzbetreiber_Prognosen Basisszenario_1;Verteilnetzbetreiber_Prognosen Basisszenario_2;Verteilnetzbetreiber_Prognosen Effizienzszenario;Verteilnetzbetreiber_Prognosen Effizienzszenario_1;Verteilnetzbetreiber_Prognosen Effizienzszenario_2;Verteilnetzbetreiber_Anmerkungen;Übertragungsnetzbetreiber_Szenario A;Übertragungsnetzbetreiber_Szenario A_1;Übertragungsnetzbetreiber_Szenario B;Übertragungsnetzbetreiber_Szenario B_1;Übertragungsnetzbetreiber_Anmerkungen
Hamburger Energienetze GmbH;Photovoltaik auf oder an Gebäuden (MWp);192.0;750.0;1270.0;1580.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Photovoltaik Freifläche (MWp);1.0;17.0;25.0;34.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Windenergie an Land;124.0;155.0;155.0;155.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Windenergie auf See;0.0;0.0;0.0;0.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Sonstige erneuerbare Erzeugung;34.0;50.0;50.0;50.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Konventionelle Kraftwerke;641.0;896.0;706.0;586.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Wärmepumpen (für dezentrale Wärmelösungen);32.0;133.0;266.0;484.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Elektrischer Bedarf für zentrale Wärmelösungen;81.0;219.0;520.0;1198.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Elektromobilität;270.0;406.0;676.0;954.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);1575.0;1950.0;1882.0;1708.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Stand-alone Rechenzentren;0.0;35.0;35.0;35.0;Siehe Regionalszenario, Kapitel 5.2.2.;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Elektrolyseure;0.0;40.4;40.4;40.4;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Kleinbatteriespeicher (< 1 MW);53.0;181.0;366.0;511.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Großbatteriespeicher (ab 1 MW);6.0;200.0;300.0;300.0;;Nord;;;;;;;;;;;;;;;;
Hamburger Energienetze GmbH;Pumpspeicher;120.0;120.0;120.0;120.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Photovoltaik auf oder an Gebäuden (MWp);1677.0;3207.0;4169.0;6094.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Photovoltaik Freifläche (MWp);1426.0;4205.0;7070.0;9267.0;Siehe Regionalszenario, Kapitel 4.5.2.;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Windenergie an Land;8314.0;13078.0;14976.0;17929.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Windenergie auf See;0.0;0.0;0.0;0.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Sonstige erneuerbare Erzeugung;510.0;510.0;510.0;510.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Konventionelle Kraftwerke;472.0;472.0;472.0;472.0;Siehe Regionalszenario, Kapitel 5.4.;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Wärmepumpen (für dezentrale Wärmelösungen);85.0;2620.0;4306.0;7898.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Elektrischer Bedarf für zentrale Wärmelösungen;70.0;91.0;112.0;112.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Elektromobilität;141.0;5458.0;7419.0;11342.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Konventionelle Last (umfasst Haushalte, Gewerbe, Handel, Industrie, Landwirtschaft);1895.0;2413.0;2463.0;2418.0;Siehe Regionalszenario, Kapitel 4.6.;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Stand-alone Rechenzentren;0.0;484.0;484.0;484.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Elektrolyseure;2.0;132.0;152.0;152.0;Siehe Regionalszenario, Kapitel 5.2.1.;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Kleinbatteriespeicher (< 1 MW);217.0;650.0;1047.0;1816.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Großbatteriespeicher (ab 1 MW);41.0;2270.0;2770.0;2770.0;;Nord;;;;;;;;;;;;;;;;
Schleswig-Holstein Netz GmbH;Pumpspeicher;0.0;0.0;0.0;0.0;;Nord;;;;;;;;;;;;;;;;
SWKiel Netz GmbH;Photovoltaik auf oder an Gebäuden (MWp);43.0;160.0;348.0;537.0;;Nord;;;;;;;;;;;;;;;;
SWKiel Netz GmbH;Photovoltaik Freifläche (MWp);0.0;112.0;210.0;260.0;;Nord;;;;;;;;;;;;;;;;
SWKiel Netz GmbH;Windenergie an Land;5.0;73.0;119.0;170.0;;Nord;;;;;;;;;;;;;;;;
SWKiel Netz GmbH;Windenergie auf See;0.0;0.0;0.0;0.0;;Nord;;;;;;;;;;;;;;;;
SWKiel Netz GmbH;Sonstige erneuerbare Erzeugung;10.0;10.0;10.0;10.0;;Nord;;;;;;;;;;;;;;;;
SWKiel Netz GmbH;Konventionelle Kraftwerke;191.0;191.0;191.0;191.0;;Nord;;;;;;;;;;;;;;;;
